run_id,experiment,task,peft_method,precision,lora_rank,prefix_num_virtual_tokens,seed,max_steps,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,max_seq_length,task_acc,task_acc_norm,eval_n,trainable_params,total_params,trainable_pct,peak_vram_gb,train_seconds,eval_seconds,train_tokens_per_sec,acc_per_param,acc_per_gpu_hour
exp1__lora_r64__sst2__seed0,exp1,sst2,lora,bf16,64,,0,1000,0.0002,16,2,128,0.963302752293578,0.963302752293578,872,8716288,1552430592,0.5614607213305933,7.995392512,171.75050484389067,17.206099743023515,3493.433690604622,1.1051754511709319e-07,20.191439387086245
exp1__lora_r64__gsm8k__seed2,exp1,gsm8k,lora,bf16,64,,2,3000,0.0002,4,8,512,0.502,,500,8716288,1552430592,0.5614607213305933,12.102969856,2490.483996472787,1078.8094464889728,7173.192851390082,5.75933241306391e-08,0.7256420850563562
exp1__lora_r64__sst2__seed1,exp1,sst2,lora,bf16,64,,1,1000,0.0002,16,2,128,0.963302752293578,0.963302752293578,872,8716288,1552430592,0.5614607213305933,7.960522752,171.48482893779874,17.639706579968333,3498.8459545749824,1.1051754511709319e-07,20.222721331895546
exp1__lora_r64__sst2__seed2,exp1,sst2,lora,bf16,64,,2,1000,0.0002,16,2,128,0.9598623853211009,0.9598623853211009,872,8716288,1552430592,0.5614607213305933,7.927474176,172.02140093175694,18.466263833921403,3487.932296505521,1.1012283959881785e-07,20.087643563179707
exp1__lora_r8__gsm8k__seed0,exp1,gsm8k,lora,bf16,8,,0,3000,0.0002,4,8,512,0.532,,500,1089536,1544803840,0.07052908413277896,11.94096896,2442.2868060376495,1093.415327489376,7314.7518775583985,4.8828125e-07,0.7841830841756086
exp1__lora_r8__gsm8k__seed1,exp1,gsm8k,lora,bf16,8,,1,3000,0.0002,4,8,512,0.552,,500,1089536,1544803840,0.07052908413277896,11.968952832,2392.140202454757,1082.5445674541406,7468.091536469163,5.066376879699249e-07,0.830720539691103
exp1__lora_r8__hellaswag__seed0,exp1,hellaswag,lora,bf16,8,,0,2000,0.0002,8,4,256,0.485,0.604,2000,1089536,1544803840,0.07052908413277896,8.247407616,689.3557844217867,46.760524053126574,7187.200154062296,5.543644266917293e-07,3.1542492993278195
exp1__lora_r8__hellaswag__seed1,exp1,hellaswag,lora,bf16,8,,1,2000,0.0002,8,4,256,0.4815,0.606,2000,1089536,1544803840,0.07052908413277896,8.247407616,700.562413264066,47.36733703315258,7072.229263508125,5.562000704887218e-07,3.114069437204705
exp1__lora_r8__hellaswag__seed2,exp1,hellaswag,lora,bf16,8,,2,2000,0.0002,8,4,256,0.483,0.607,2000,1089536,1544803840,0.07052908413277896,8.247407616,698.9473351798952,46.5549884531647,7088.571270859486,5.571178923872181e-07,3.1264158113394522
exp1__lora_r8__sst2__seed0,exp1,sst2,lora,bf16,8,,0,1000,0.0002,16,2,128,0.9575688073394495,0.9575688073394495,872,1089536,1544803840,0.07052908413277896,7.851545088,170.03540779836476,17.926239060238004,3528.6709266549024,8.788776206930744e-07,20.273705053890374
exp1__lora_r8__sst2__seed1,exp1,sst2,lora,bf16,8,,1,1000,0.0002,16,2,128,0.9598623853211009,0.9598623853211009,872,1089536,1544803840,0.07052908413277896,7.847182336,165.97265829518437,16.947357019409537,3615.0472382800217,8.809827167905428e-07,20.819721890640004
exp1__lora_r8__sst2__seed2,exp1,sst2,lora,bf16,8,,2,1000,0.0002,16,2,128,0.9529816513761468,0.9529816513761468,872,1089536,1544803840,0.07052908413277896,7.783712768,164.28107727319002,17.016202084720135,3652.2709125058636,8.746674284981375e-07,20.883317798367088
exp1__lora_r8__gsm8k__seed2,exp1,gsm8k,lora,bf16,8,,2,3000,0.0002,4,8,512,0.546,,500,1089536,1544803840,0.07052908413277896,11.953187328,2370.774714294821,1050.751956384629,7535.3941866693995,5.011307565789474e-07,0.8290960706423179
exp1__lora_r4__sst2__seed1,exp1,sst2,lora,bf16,4,,1,1000,0.0002,16,2,128,0.9529816513761468,0.9529816513761468,872,544768,1544259072,0.03527698233266393,7.839092736,165.69111186265945,17.677564788609743,3621.19001589739,1.749334856996275e-06,20.705600357114186
